ANIO,descripcion,DEF_AMENABLES,GRUPO
2021,Ca. colon y recto,4392.00,Neoplasias
2021,Ca. mama,3848.00,Neoplasias
2021,Ca. cuello uterino,1110.00,Neoplasias
2021,Leucemia,417.00,Neoplasias
2021,Ca. cuerpo uterino,224.00,Neoplasias
2021,Ca. testículo,205.00,Neoplasias
2021,Ca. piel (no melanoma),135.00,Neoplasias
2021,Enfermedad de Hodgkin,117.00,Neoplasias
2021,Epilepsia,301.00,Neurológico
2021,Neumonía,12974.00,Respiratorio
2021,Enf. respiratorias excl. neumonía e influenza (1-14),74.00,Respiratorio
2021,Influenza,8.00,Respiratorio
2021,Nefritis y nefrosis,3938.00,Urogenital
2021,Hiperplasia benigna de próstata,15.00,Urogenital
2022,Enfermedad cerebrovascular,8040.00,Cardiovascular
2022,Cardiopatía isquémica (50%),5431.00,Cardiovascular
2022,Hipertensión arterial,2443.00,Cardiovascular
2022,Enf. reumática cardíaca crónica,81.00,Cardiovascular
2022,Anomalías cardiovasculares congénitas,594.00,Congénito
2022,Úlcera péptica,177.00,Digestivo
2022,Hernia abdominal,143.00,Digestivo
2022,Colelitiasis y colecistitis,125.00,Digestivo
2022,Apendicitis,43.00,Digestivo
2022,Diabetes mellitus,558.00,Endócrino/Metabólico
2022,Enfermedades del tiroides,42.00,Endócrino/Metabólico
2022,Accidentes durante atención médica,635.00,Iatrogénico
2022,Septicemia,6228.00,Infecciosas
2022,Tuberculosis y secuelas,527.00,Infecciosas
2022,Infecciones intestinales,58.00,Infecciosas
2022,Tétanos,1.00,Infecciosas
2022,Muertes perinatales,2179.00,Materno-Perinatal
2022,Muerte materna,228.00,Materno-Perinatal
2022,Ca. colon y recto,4232.00,Neoplasias
2022,Ca. mama,3719.00,Neoplasias
2022,Ca. cuello uterino,1192.00,Neoplasias
2022,Leucemia,441.00,Neoplasias
2022,Ca. cuerpo uterino,212.00,Neoplasias
2022,Ca. testículo,183.00,Neoplasias
2022,Ca. piel (no melanoma),158.00,Neoplasias
2022,Enfermedad de Hodgkin,101.00,Neoplasias
2022,Epilepsia,330.00,Neurológico
2022,Neumonía,11776.00,Respiratorio
2022,Enf. respiratorias excl. neumonía e influenza (1-14),132.00,Respiratorio
2022,Influenza,59.00,Respiratorio
2022,Nefritis y nefrosis,3964.00,Urogenital
2022,Hiperplasia benigna de próstata,13.00,Urogenital
2023,Enfermedad cerebrovascular,7529.00,Cardiovascular
2023,Cardiopatía isquémica (50%),5055.50,Cardiovascular
2023,Hipertensión arterial,2156.00,Cardiovascular
2023,Enf. reumática cardíaca crónica,70.00,Cardiovascular
2023,Anomalías cardiovasculares congénitas,593.00,Congénito
2023,Úlcera péptica,144.00,Digestivo
2023,Hernia abdominal,126.00,Digestivo
2023,Colelitiasis y colecistitis,123.00,Digestivo
2023,Apendicitis,37.00,Digestivo
2023,Diabetes mellitus,502.00,Endócrino/Metabólico
2023,Enfermedades del tiroides,49.00,Endócrino/Metabólico
2023,Accidentes durante atención médica,721.00,Iatrogénico
2023,Septicemia,6836.00,Infecciosas
2023,Tuberculosis y secuelas,615.00,Infecciosas
2023,Infecciones intestinales,55.00,Infecciosas
2023,Muertes perinatales,1921.00,Materno-Perinatal
2023,Muerte materna,197.00,Materno-Perinatal
2023,Ca. colon y recto,4439.00,Neoplasias
2023,Ca. mama,3821.00,Neoplasias
2023,Ca. cuello uterino,1281.00,Neoplasias
2023,Leucemia,440.00,Neoplasias
2023,Ca. cuerpo uterino,232.00,Neoplasias
2023,Ca. testículo,212.00,Neoplasias
2023,Ca. piel (no melanoma),169.00,Neoplasias
2023,Enfermedad de Hodgkin,143.00,Neoplasias
2023,Epilepsia,307.00,Neurológico
2023,Neumonía,10294.00,Respiratorio
2023,Enf. respiratorias excl. neumonía e influenza (1-14),125.00,Respiratorio
2023,Influenza,27.00,Respiratorio
2023,Nefritis y nefrosis,3788.00,Urogenital
2023,Hiperplasia benigna de próstata,8.00,Urogenital
2024,Enfermedad cerebrovascular,7875.00,Cardiovascular
2024,Cardiopatía isquémica (50%),5164.50,Cardiovascular
2024,Hipertensión arterial,1990.00,Cardiovascular
2024,Enf. reumática cardíaca crónica,67.00,Cardiovascular
2024,Anomalías cardiovasculares congénitas,613.00,Congénito
2024,Úlcera péptica,158.00,Digestivo
2024,Colelitiasis y colecistitis,144.00,Digestivo
2024,Hernia abdominal,141.00,Digestivo
2024,Apendicitis,39.00,Digestivo
2024,Diabetes mellitus,515.00,Endócrino/Metabólico
2024,Enfermedades del tiroides,57.00,Endócrino/Metabólico
2024,Accidentes durante atención médica,737.00,Iatrogénico
2024,Septicemia,7381.00,Infecciosas
2024,Tuberculosis y secuelas,672.00,Infecciosas
2024,Infecciones intestinales,35.00,Infecciosas
2024,Tétanos,1.00,Infecciosas
2024,Muertes perinatales,1951.00,Materno-Perinatal
2024,Muerte materna,264.00,Materno-Perinatal
2024,Ca. colon y recto,4591.00,Neoplasias
2024,Ca. mama,3764.00,Neoplasias
2024,Ca. cuello uterino,1396.00,Neoplasias
2024,Leucemia,426.00,Neoplasias
2024,Ca. cuerpo uterino,232.00,Neoplasias
2024,Ca. testículo,202.00,Neoplasias
2024,Ca. piel (no melanoma),157.00,Neoplasias
2024,Enfermedad de Hodgkin,140.00,Neoplasias
2024,Epilepsia,363.00,Neurológico
2024,Neumonía,11604.00,Respiratorio
2024,Enf. respiratorias excl. neumonía e influenza (1-14),112.00,Respiratorio
2024,Influenza,69.00,Respiratorio
2024,Nefritis y nefrosis,3720.00,Urogenital
2024,Hiperplasia benigna de próstata,11.00,Urogenital
