ANIO,descripcion,DEF_AMENABLES,GRUPO
2008,Diabetes mellitus,303.00,Endócrino/Metabólico
2008,Enfermedades del tiroides,36.00,Endócrino/Metabólico
2008,Accidentes durante atención médica,1107.00,Iatrogénico
2008,Septicemia,4477.00,Infecciosas
2008,Tuberculosis y secuelas,457.00,Infecciosas
2008,Infecciones intestinales,126.00,Infecciosas
2008,Tos convulsa,51.00,Infecciosas
2008,Tétanos,1.00,Infecciosas
2008,Muertes perinatales,4697.00,Materno-Perinatal
2008,Muerte materna,320.00,Materno-Perinatal
2008,Ca. colon y recto,3573.00,Neoplasias
2008,Ca. mama,3337.00,Neoplasias
2008,Ca. cuello uterino,883.00,Neoplasias
2008,Leucemia,427.00,Neoplasias
2008,Ca. cuerpo uterino,161.00,Neoplasias
2008,Ca. testículo,140.00,Neoplasias
2008,Enfermedad de Hodgkin,129.00,Neoplasias
2008,Ca. piel (no melanoma),125.00,Neoplasias
2008,Epilepsia,233.00,Neurológico
2008,Neumonía,4827.00,Respiratorio
2008,Enf. respiratorias excl. neumonía e influenza (1-14),152.00,Respiratorio
2008,Influenza,1.00,Respiratorio
2008,Nefritis y nefrosis,2726.00,Urogenital
2008,Hiperplasia benigna de próstata,8.00,Urogenital
2009,Enfermedad cerebrovascular,7912.00,Cardiovascular
2009,Cardiopatía isquémica (50%),4336.50,Cardiovascular
2009,Hipertensión arterial,1818.00,Cardiovascular
2009,Enf. reumática cardíaca crónica,127.00,Cardiovascular
2009,Anomalías cardiovasculares congénitas,1010.00,Congénito
2009,Úlcera péptica,132.00,Digestivo
2009,Colelitiasis y colecistitis,110.00,Digestivo
2009,Hernia abdominal,86.00,Digestivo
2009,Apendicitis,36.00,Digestivo
2009,Diabetes mellitus,355.00,Endócrino/Metabólico
2009,Enfermedades del tiroides,55.00,Endócrino/Metabólico
2009,Accidentes durante atención médica,867.00,Iatrogénico
2009,Septicemia,4356.00,Infecciosas
2009,Tuberculosis y secuelas,487.00,Infecciosas
2009,Infecciones intestinales,136.00,Infecciosas
2009,Tos convulsa,15.00,Infecciosas
2009,Tétanos,5.00,Infecciosas
2009,Muertes perinatales,4420.00,Materno-Perinatal
2009,Muerte materna,426.00,Materno-Perinatal
2009,Ca. colon y recto,3633.00,Neoplasias
2009,Ca. mama,3405.00,Neoplasias
2009,Ca. cuello uterino,894.00,Neoplasias
2009,Leucemia,517.00,Neoplasias
2009,Ca. cuerpo uterino,162.00,Neoplasias
2009,Ca. testículo,160.00,Neoplasias
2009,Enfermedad de Hodgkin,134.00,Neoplasias
2009,Ca. piel (no melanoma),123.00,Neoplasias
2009,Epilepsia,231.00,Neurológico
2009,Neumonía,6379.00,Respiratorio
2009,Enf. respiratorias excl. neumonía e influenza (1-14),215.00,Respiratorio
2009,Influenza,20.00,Respiratorio
2009,Nefritis y nefrosis,2709.00,Urogenital
2009,Hiperplasia benigna de próstata,8.00,Urogenital
2010,Enfermedad cerebrovascular,7950.00,Cardiovascular
2010,Cardiopatía isquémica (50%),4536.50,Cardiovascular
2010,Hipertensión arterial,1984.00,Cardiovascular
2010,Enf. reumática cardíaca crónica,103.00,Cardiovascular
2010,Anomalías cardiovasculares congénitas,1004.00,Congénito
2010,Úlcera péptica,149.00,Digestivo
2010,Colelitiasis y colecistitis,116.00,Digestivo
2010,Hernia abdominal,92.00,Digestivo
2010,Apendicitis,44.00,Digestivo
2010,Diabetes mellitus,351.00,Endócrino/Metabólico
2010,Enfermedades del tiroides,51.00,Endócrino/Metabólico
2010,Accidentes durante atención médica,902.00,Iatrogénico
2010,Septicemia,4675.00,Infecciosas
2010,Tuberculosis y secuelas,411.00,Infecciosas
2010,Infecciones intestinales,144.00,Infecciosas
2010,Tos convulsa,16.00,Infecciosas
2010,Tétanos,3.00,Infecciosas
2010,Muertes perinatales,4462.00,Materno-Perinatal
2010,Muerte materna,332.00,Materno-Perinatal
2010,Ca. colon y recto,3662.00,Neoplasias
2010,Ca. mama,3489.00,Neoplasias
2010,Ca. cuello uterino,856.00,Neoplasias
2010,Leucemia,410.00,Neoplasias
2010,Ca. testículo,159.00,Neoplasias
2010,Ca. cuerpo uterino,150.00,Neoplasias
2010,Ca. piel (no melanoma),133.00,Neoplasias
2010,Enfermedad de Hodgkin,90.00,Neoplasias
